,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques,Grade,Ques_Statement
412,Janet has number0 apples . She finds another number1 . How many apples does Janet have in all ?,57.0 95.0,+ number0 number1,152.0,"[1, 2, 3, 7, 8, 9, 15, 16, 17]",,,Janet has number0 apples . She finds another number1 .,,,How many apples does Janet have in all ?
413,There are number0 students making number1 stars each for the school wall . How many stars will they make all together ?,124.0 3.0,* number0 number1,372.0,"[1, 2, 3, 4, 5, 6, 18, 19, 20]",,,There are number0 students making number1 stars each for the school wall .,,,How many stars will they make all together ?
414,A restaurant sold number0 hamburgers last week . How many hamburgers on average were sold each day ?,63.0,/ number0 7.0,9.0,"[2, 3, 4, 14, 15, 16]",,,A restaurant sold number0 hamburgers last week .,,,How many hamburgers on average were sold each day ?
415,"At a pie - eating contest , Erik got through number0 pie before time was called ; Frank finished just number1 pie . How much more pie did Erik eat than Frank ?",0.6666666666666666 0.3333333333333333,- number0 number1,0.3333333333333333,"[9, 10, 11, 19, 20, 21, 29, 30, 31]",,,"At a pie - eating contest , Erik got through number0 pie before time was called ; Frank finished just number1 pie .",,,How much more pie did Erik eat than Frank ?
416,"Sarah had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it , how many problems are on each page ?",55.0 6.0 7.0,/ - number0 number1 number2,7.0,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 37, 38, 39]",,,"Sarah had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it ,",,,how many problems are on each page ?
417,Steven wants to split a collection of cards into groups of number0 . Steven has number1 cards . How many groups will be created ?,6.0 30.0,/ number1 number0,5.0,"[10, 11, 12, 14, 15, 16, 21, 22, 23]",,,Steven wants to split a collection of cards into groups of number0 . Steven has number1 cards .,,,How many groups will be created ?
418,Convert number0 to a percent .,0.176,* number0 100.0,17.6,"[0, 1, 2, 2, 3, 4]",,,Convert number0 to a percent .,,,
419,"If number0 lollipops cost number1 dollars , how much does number2 lollipop cost , in dollars ?",120.0 90.0 1.0,/ number1 number0,0.75,"[0, 1, 2, 3, 4, 5, 9, 10, 11, 13, 14, 15]",,,"If number0 lollipops cost number1 dollars ,",,,"how much does number2 lollipop cost , in dollars ?"
420,"Benny goes to lunch with Sally and Sandy . The total bill came to number0 dollars . They decided to equally split up the bill , how much will each person have to pay ?",15.0,/ number0 3.0,5.0,"[13, 14, 15, 31, 32, 33]",,,"Benny goes to lunch with Sally and Sandy . The total bill came to number0 dollars . They decided to equally split up the bill ,",,,how much will each person have to pay ?
421,"Dan had number0 baseball cards , and number1 were torn . Sam bought number2 of Dan 's baseball cards . How many baseball cards does Dan have now ?",97.0 8.0 15.0,- number0 number2,82.0,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 25, 26, 27]",,,"Dan had number0 baseball cards , and number1 were torn . Sam bought number2 of Dan 's baseball cards .",,,How many baseball cards does Dan have now ?
422,For homework Nancy had number0 math problems and number1 spelling problems . If she can finish number2 problems in an hour how long will it take her to finish all the problems ?,17.0 15.0 8.0,/ + number0 number1 number2,4.0,"[3, 4, 5, 7, 8, 9, 15, 16, 17, 29, 30, 31]",,,For homework Nancy had number0 math problems and number1 spelling problems . If she can finish number2 problems in an hour,,,how long will it take her to finish all the problems ?
423,"Harry Hound had a terrible earache yesterday . When I peered into his ears yesterday , I found number0 frisky fleas having a party in his right ear and number1 baby fleas sleeping peacefully in his left ear . I cleaned out Harry Hound 's ears . How many fleas perished ?",36.0 85.0,+ number0 number1,121.0,"[17, 18, 19, 30, 31, 32, 52, 53, 54]",,,"Harry Hound had a terrible earache yesterday . When I peered into his ears yesterday , I found number0 frisky fleas having a party in his right ear and number1 baby fleas sleeping peacefully in his left ear . I cleaned out Harry Hound 's ears .",,,How many fleas perished ?
424,"Tommy had some balloons . His mom gave him number0 more balloons for his birthday . Then , Tommy had number1 balloons . How many balloons did Tommy have to start with ?",34.0 60.0,- number1 number0,26.0,"[8, 9, 10, 19, 20, 21, 31, 32, 33]",,,"Tommy had some balloons . His mom gave him number0 more balloons for his birthday . Then , Tommy had number1 balloons .",,,How many balloons did Tommy have to start with ?
425,"Sally found number0 seashells , Tom found number1 seashells , and Jessica found number2 seashells on the beach . How many seashells did they find together ?",9.0 7.0 5.0,+ + number0 number1 number2,21.0,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 23, 24, 25]",,,"Sally found number0 seashells , Tom found number1 seashells , and Jessica found number2 seashells on the beach .",,,How many seashells did they find together ?
426,Cindy ’ s mom baked number0 cookies . Paul ’ s dad baked number1 cookies . They both brought them to school for a party . How many cookies did they have altogether ?,1215.0 1112.0,+ number0 number1,2327.0,"[3, 4, 5, 10, 11, 12, 30, 31, 32]",,,Cindy ’ s mom baked number0 cookies . Paul ’ s dad baked number1 cookies . They both brought them to school for a party .,,,How many cookies did they have altogether ?
427,"Roger earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them , how much money did he actually earn ?",9.0 14.0 8.0,* number0 - number1 number2,54.0,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 30, 31, 32]",,,"Roger earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them ,",,,how much money did he actually earn ?
428,"There are number0 students in the class and number1 tickets . If the tickets are divided equally among the students , how many does each student get ?",9.0 81.0,/ number1 number0,9.0,"[1, 2, 3, 7, 8, 9, 24, 25, 26]",,,"There are number0 students in the class and number1 tickets . If the tickets are divided equally among the students ,",,,how many does each student get ?
429,"A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table . How many customers total did the waiter have ?",9.0 7.0 3.0,* number0 + number1 number2,90.0,"[2, 3, 4, 10, 11, 12, 13, 14, 15, 25, 26, 27]",,,"A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table .",,,How many customers total did the waiter have ?
430,Mildred collects number0 oranges . Mildred 's father gives Mildred number1 more . How many oranges does Mildred have ?,77.0 2.0,+ number0 number1,79.0,"[1, 2, 3, 9, 10, 11, 16, 17, 18]",,,Mildred collects number0 oranges . Mildred 's father gives Mildred number1 more .,,,How many oranges does Mildred have ?
431,How many cookies would you have if you had number0 bags of cookies with number1 cookies in each bag ?,37.0 19.0,* number0 number1,703.0,"[8, 9, 10, 13, 14, 15, 16, 17, 18]",,,,,,How many cookies would you have if you had number0 bags of cookies with number1 cookies in each bag ?
432,There are number0 birds and number1 nests . How many more birds are there than nests ?,6.0 3.0,- number0 number1,3.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15]",,,There are number0 birds and number1 nests .,,,How many more birds are there than nests ?
433,"Nancy , Melanie , Mary , and Alyssa each bought number0 baseball cards , which come in packs of number1 . How many packs of baseball cards do they have in all ?",540.0 20.0,/ * 4.0 number0 number1,108.0,"[9, 10, 11, 20, 21, 22, 31, 32, 33]",,,"Nancy , Melanie , Mary , and Alyssa each bought number0 baseball cards , which come in packs of number1 .",,,How many packs of baseball cards do they have in all ?
434,Sara has number0 black and number1 red marbles . Fred took number2 of Sara 's black marbles . How many black marbles does Sara now have ?,792.0 122.0 233.0,- number0 number2,559.0,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 23, 24, 25]",,,Sara has number0 black and number1 red marbles . Fred took number2 of Sara 's black marbles .,,,How many black marbles does Sara now have ?
435,For the school bake sale Paige made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home . How many pastries did she sell ?,36.0 9.0 4.0,- + number0 number1 number2,41.0,"[10, 11, 12, 13, 14, 15, 21, 22, 23, 31, 32, 33]",,,For the school bake sale Paige made pastries . She baked number0 cupcakes and number1 cookies . After the sale she had number2 to take back home .,,,How many pastries did she sell ?
436,"While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",8.0 2.0 8.0,* number0 + number0 number1,80.0,"[7, 8, 9, 15, 16, 17, 28, 29, 30, 34, 35, 36]",,,"While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",,,what was his final score ?
437,"At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip , how much money did he earn ?",9.0 5.0 8.0,* number2 - number0 number1,32.0,"[4, 5, 6, 7, 8, 9, 20, 21, 22, 33, 34, 35]",,,"At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip ,",,,how much money did he earn ?
438,Heather weighs number0 pounds . Emily weighs number1 pounds . Elizabeth weighs number2 pounds . How much heavier is Heather than Emily ?,87.0 9.0 8.0,- number0 number1,78.0,"[1, 2, 3, 6, 7, 8, 11, 12, 13, 19, 20, 21]",,,Heather weighs number0 pounds . Emily weighs number1 pounds . Elizabeth weighs number2 pounds .,,,How much heavier is Heather than Emily ?
439,Melanie had number0 dimes in her bank . Her dad gave her number1 dimes and her mother gave her number2 dimes . How many dimes does Melanie have now ?,7.0 8.0 4.0,+ + number0 number1 number2,19.0,"[1, 2, 3, 11, 12, 13, 18, 19, 20, 26, 27, 28]",,,Melanie had number0 dimes in her bank . Her dad gave her number1 dimes and her mother gave her number2 dimes .,,,How many dimes does Melanie have now ?
440,"Roger was putting his spare change into piles . He had number0 piles of quarters and number1 piles of dimes . If each pile had number2 coins in it , how many coins did he have total ?",3.0 3.0 7.0,* number2 + number0 number0,42.0,"[10, 11, 12, 15, 16, 17, 24, 25, 26, 34, 35, 36]",,,"Roger was putting his spare change into piles . He had number0 piles of quarters and number1 piles of dimes . If each pile had number2 coins in it ,",,,how many coins did he have total ?
441,Brandon has number0 Skittles . Bonnie has number1 Skittles . He loses number2 . How many Skittles will Brandon have ?,96.0 4.0 9.0,- number0 number2,87.0,"[1, 2, 3, 6, 7, 8, 11, 12, 13, 17, 18, 19]",,,Brandon has number0 Skittles . Bonnie has number1 Skittles . He loses number2 .,,,How many Skittles will Brandon have ?
442,"Roger had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom , how much money would he have ?",45.0 20.0 46.0,- + number0 number2 number1,71.0,"[1, 2, 3, 11, 12, 13, 18, 19, 20, 28, 29, 30]",,,"Roger had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom ,",,,how much money would he have ?
443,"Ellen had number0 Legos , but she lost number1 Legos . How many Legos does she have now ?",2080.0 17.0,- number0 number1,2063.0,"[1, 2, 3, 7, 8, 9, 15, 16, 17]",,,"Ellen had number0 Legos , but she lost number1 Legos .",,,How many Legos does she have now ?
444,Dave was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours . How much money did Dave make in those two days ?,6.0 6.0 2.0,* number0 + number0 number2,48.0,"[12, 13, 14, 21, 22, 23, 28, 29, 30, 39, 40, 41]",,,Dave was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours .,,,How much money did Dave make in those two days ?
445,Emily was playing a trivia game . In the first round she scored number0 points and in the second round she scored number1 points . In the last round she lost number2 points . How many points did she have at the end of the game ?,16.0 33.0 48.0,- + number0 number1 number2,1.0,"[12, 13, 14, 21, 22, 23, 30, 31, 32, 43, 44, 45]",,,Emily was playing a trivia game . In the first round she scored number0 points and in the second round she scored number1 points . In the last round she lost number2 points .,,,How many points did she have at the end of the game ?
446,"Sara grew number0 pumpkins , but the rabbits ate number1 pumpkins . How many pumpkins does Sara have left ?",43.0 23.0,- number0 number1,20.0,"[1, 2, 3, 8, 9, 10, 16, 17, 18]",,,"Sara grew number0 pumpkins , but the rabbits ate number1 pumpkins .",,,How many pumpkins does Sara have left ?
447,"Mary loves eating fruits . Mary paid $ number0 for berries , $ number1 for apples , and $ number2 for peaches . In total , how much money did she spend ?",11.08 14.33 9.31,+ + number0 number1 number2,34.72,"[7, 8, 9, 12, 13, 14, 18, 19, 20, 29, 30, 31]",,,"Mary loves eating fruits . Mary paid $ number0 for berries , $ number1 for apples , and $ number2 for peaches . In total ,",,,how much money did she spend ?
448,"Carrie 's mom gave her $ number0 to go shopping . She bought a sweater for $ number1 , a T - shirt for $ number2 , and a pair of shoes for $ number3 . How much money does Carrie have left ?",91.0 24.0 6.0 11.0,- number0 + + number1 number2 number3,50.0,"[5, 6, 7, 16, 17, 18, 24, 25, 26, 33, 34, 35, 40, 41, 42]",,,"Carrie 's mom gave her $ number0 to go shopping . She bought a sweater for $ number1 , a T - shirt for $ number2 , and a pair of shoes for $ number3 .",,,How much money does Carrie have left ?
449,Sam has number0 yellow and number1 green marbles . Joan took number2 of Sam 's yellow marbles . How many yellow marbles does Sam now have ?,86.0 20.0 25.0,- number0 number2,61.0,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 23, 24, 25]",,,Sam has number0 yellow and number1 green marbles . Joan took number2 of Sam 's yellow marbles .,,,How many yellow marbles does Sam now have ?
450,Gumballs come in packages of number0 . Nathan ate number1 gumballs . How many whole boxes did he eat and how many gumballs does he have left ?,5.0 20.0,/ number1 number0,4.0,"[4, 5, 6, 8, 9, 10, 24, 25, 26]",,,Gumballs come in packages of number0 . Nathan ate number1 gumballs .,,,How many whole boxes did he eat and how many gumballs does he have left ?
451,"Roger is at the library helping put away books . There are number0 book to put away total but a librarian takes number1 of them and leaves Roger with the rest . If he can fit number2 books on a shelf , how many shelves will he need ?",14.0 2.0 3.0,/ - number0 number1 number2,4.0,"[11, 12, 13, 21, 22, 23, 35, 36, 37, 45, 46, 47]",,,"Roger is at the library helping put away books . There are number0 book to put away total but a librarian takes number1 of them and leaves Roger with the rest . If he can fit number2 books on a shelf ,",,,how many shelves will he need ?
452,It took Amanda number0 hours to stroll to Kimberly 's house at number1 miles per hour . How far is it between Amanda 's house and Kimberly 's house ?,5.0 2.0,* number0 number1,10.0,"[2, 3, 4, 11, 12, 13, 26, 27, 28]",,,It took Amanda number0 hours to stroll to Kimberly 's house at number1 miles per hour .,,,How far is it between Amanda 's house and Kimberly 's house ?
453,"Tom has number0 violet balloons , he gave Fred number1 of the balloons . How many violet balloons does he now have ?",30.0 16.0,- number0 number1,14.0,"[1, 2, 3, 8, 9, 10, 19, 20, 21]",,,"Tom has number0 violet balloons , he gave Fred number1 of the balloons .",,,How many violet balloons does he now have ?
454,"The first act included number0 clown mobiles , each stuffed with number1 clowns . How many clowns are inside all the clown mobiles combined ?",5.0 28.0,* number0 number1,140.0,"[3, 4, 5, 10, 11, 12, 21, 22, 23]",,,"The first act included number0 clown mobiles , each stuffed with number1 clowns .",,,How many clowns are inside all the clown mobiles combined ?
455,What is number0 % of number1 ?,80.0 40.0,* * number0 0.01 number1,32.0,"[1, 2, 3, 4, 5, 6, 3, 4, 5]",,,,,,What is number0 % of number1 ?
456,"Chloe picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day , how many carrots would she have total ?",48.0 45.0 42.0,- + number0 number2 number1,45.0,"[1, 2, 3, 11, 12, 13, 17, 18, 19, 28, 29, 30]",,,"Chloe picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day ,",,,how many carrots would she have total ?
457,number0 boats are in the lake . Each boat has number1 people . How many people are on boats in the lake ?,5.0 3.0,* number0 number1,15.0,"[0, 1, 9, 10, 11, 19, 20, 21]",,,number0 boats are in the lake . Each boat has number1 people .,,,How many people are on boats in the lake ?
458,Megan had number0 markers . Robert gave her number1 more markers . How many markers does Megan have altogether ?,49.0 39.0,+ number0 number1,88.0,"[1, 2, 3, 7, 8, 9, 16, 17, 18]",,,Megan had number0 markers . Robert gave her number1 more markers .,,,How many markers does Megan have altogether ?
459,Sarah 's old washing machine could only wash number0 pieces of clothing at a time . If she had to wash number1 shirts and number2 sweaters how many loads would she have to do ?,5.0 43.0 2.0,/ + number1 number2 number0,9.0,"[7, 8, 9, 20, 21, 22, 23, 24, 25, 31, 32, 33]",,,Sarah 's old washing machine could only wash number0 pieces of clothing at a time . If she had to wash number1 shirts and number2 sweaters,,,how many loads would she have to do ?
460,"While making pastries , a bakery used number0 bag of wheat flour and number1 bag of white flour . How many bags of flour did the bakery use in all ?",0.2 0.1,+ number0 number1,0.3,"[6, 7, 8, 12, 13, 14, 27, 28, 29]",,,"While making pastries , a bakery used number0 bag of wheat flour and number1 bag of white flour .",,,How many bags of flour did the bakery use in all ?
461,"While playing a trivia game , Frank answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",3.0 2.0 3.0,* number0 + number0 number1,15.0,"[7, 8, 9, 15, 16, 17, 28, 29, 30, 34, 35, 36]",,,"While playing a trivia game , Frank answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",,,what was his final score ?
462,There are number0 pencils in the drawer . Tim placed number1 more pencils in the drawer . How many pencils are now there in total ?,2.0 3.0,+ number0 number1,5.0,"[1, 2, 3, 9, 10, 11, 22, 23, 24]",,,There are number0 pencils in the drawer . Tim placed number1 more pencils in the drawer .,,,How many pencils are now there in total ?
463,Eric wants to split a collection of peanuts into groups of number0 . Eric has number1 peanuts . How many groups will be created ?,8.0 64.0,/ number1 number0,8.0,"[10, 11, 12, 14, 15, 16, 21, 22, 23]",,,Eric wants to split a collection of peanuts into groups of number0 . Eric has number1 peanuts .,,,How many groups will be created ?
464,For Halloween Sarah received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile . How many piles could she make ?,108.0 36.0 9.0,/ - number0 number1 number2,8.0,"[3, 4, 5, 10, 11, 12, 19, 20, 21, 28, 29, 30]",,,For Halloween Sarah received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile .,,,How many piles could she make ?
465,"Faye was playing a video game where she scores number0 points for each treasure she finds . If she found number1 treasures on the first level and number2 on the second , what would her score be ?",7.0 2.0 6.0,* number0 + number1 number2,56.0,"[8, 9, 10, 19, 20, 21, 26, 27, 28, 34, 35, 36]",,,"Faye was playing a video game where she scores number0 points for each treasure she finds . If she found number1 treasures on the first level and number2 on the second ,",,,what would her score be ?
466,"Kendall is learning to drive , so this weekend she practiced driving number0 mile with her mother and another number1 mile with her father . How far did Kendall drive in all ?",0.16666666666666666 0.5,+ number0 number1,0.6666666666666666,"[11, 12, 13, 18, 19, 20, 29, 30, 31]",,,"Kendall is learning to drive , so this weekend she practiced driving number0 mile with her mother and another number1 mile with her father .",,,How far did Kendall drive in all ?
467,Marlee has number0 guests coming to her Halloween party . Each table will hold number1 guests . How many tables will Marlee need ?,12.0 3.0,/ number0 number1,4.0,"[1, 2, 3, 13, 14, 15, 20, 21, 22]",,,Marlee has number0 guests coming to her Halloween party . Each table will hold number1 guests .,,,How many tables will Marlee need ?
468,"Ned was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another , how many trips will he make ?",5.0 5.0 5.0,/ + number0 number0 number0,2.0,"[15, 16, 17, 27, 28, 29, 33, 34, 35, 42, 43, 44]",,,"Ned was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another ,",,,how many trips will he make ?
469,There are number0 oak trees currently in the park . Park workers had to cut down number1 oak trees that were damaged . How many oak trees will be in the park when the workers are finished ?,33.0 18.0,- number0 number1,15.0,"[1, 2, 3, 15, 16, 17, 34, 35, 36]",,,There are number0 oak trees currently in the park . Park workers had to cut down number1 oak trees that were damaged .,,,How many oak trees will be in the park when the workers are finished ?
470,On the first day of the week Pat had number0 stickers . Pat earned number1 more during the week . How many stickers did Pat have at the end of the week ?,39.0 22.0,+ number0 number1,61.0,"[8, 9, 10, 13, 14, 15, 31, 32, 33]",,,On the first day of the week Pat had number0 stickers . Pat earned number1 more during the week .,,,How many stickers did Pat have at the end of the week ?
471,"Melanie picked number0 plums , Dan picked number1 plums , and Sally picked number2 plums from the plum tree . How many plums were picked in total ?",4.0 9.0 3.0,+ + number0 number1 number2,16.0,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 24, 25, 26]",,,"Melanie picked number0 plums , Dan picked number1 plums , and Sally picked number2 plums from the plum tree .",,,How many plums were picked in total ?
472,"A company painted some houses in Hancock County white and blue using a total of number0 gallons of paint . If they used number1 gallons of white paint , how many gallons of blue paint did the company use ?",6689.0 660.0,- number0 number1,6029.0,"[14, 15, 16, 22, 23, 24, 36, 37, 38]",,,"A company painted some houses in Hancock County white and blue using a total of number0 gallons of paint . If they used number1 gallons of white paint ,",,,how many gallons of blue paint did the company use ?
473,"Isabella ’ s hair is number0 inches long . If she gets a haircut and now her hair is number1 inches long , how much of Isabella ’ s hair got cut off ?",18.0 9.0,- number0 number1,9.0,"[3, 4, 5, 17, 18, 19, 28, 29, 30]",,,"Isabella ’ s hair is number0 inches long . If she gets a haircut and now her hair is number1 inches long ,",,,how much of Isabella ’ s hair got cut off ?
474,Sam had number0 pennies in his bank . He spent number1 of his pennies . How many pennies does he have now ?,98.0 93.0,- number0 number1,5.0,"[1, 2, 3, 9, 10, 11, 19, 20, 21]",,,Sam had number0 pennies in his bank . He spent number1 of his pennies .,,,How many pennies does he have now ?
475,In Yardley it snowed number0 inch in the morning and number1 inch in the afternoon . What was the total amount of snowfall ?,0.125 0.5,+ number0 number1,0.625,"[3, 4, 5, 9, 10, 11, 20, 21, 22]",,,In Yardley it snowed number0 inch in the morning and number1 inch in the afternoon .,,,What was the total amount of snowfall ?
476,David removes number0 eggs from a jar . There were originally number1 eggs in the jar . How many eggs are left in the jar ?,7.0 27.0,- number1 number0,20.0,"[1, 2, 3, 10, 11, 12, 22, 23, 24]",,,David removes number0 eggs from a jar . There were originally number1 eggs in the jar .,,,How many eggs are left in the jar ?
477,"At the fair there were number0 people in line for the bumper cars . If number1 of them got tired of waiting and left and number2 more got in line , how many people would be in line ?",7.0 4.0 8.0,- + number0 number2 number1,11.0,"[4, 5, 6, 14, 15, 16, 24, 25, 26, 35, 36, 37]",,,"At the fair there were number0 people in line for the bumper cars . If number1 of them got tired of waiting and left and number2 more got in line ,",,,how many people would be in line ?
478,"Adam bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Adam still have ?",13.0 7.0 6.0,* number2 - number0 number1,36.0,"[1, 2, 3, 8, 9, 10, 18, 19, 20, 28, 29, 30]",,,"Adam bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it ,",,,how many pieces did Adam still have ?
479,Iesha has number0 books . number1 are about school and the rest are about sports . How many books about sports does Iesha have ?,58.0 19.0,- number0 number1,39.0,"[1, 2, 3, 4, 5, 6, 21, 22, 23]",,,Iesha has number0 books . number1 are about school and the rest are about sports .,,,How many books about sports does Iesha have ?
480,"The school cafeteria had number0 apples . If they used number1 to make lunch for the students and then bought number2 more , how many apples would they have ?",17.0 2.0 23.0,- + number0 number2 number1,38.0,"[3, 4, 5, 9, 10, 11, 19, 20, 21, 26, 27, 28]",,,"The school cafeteria had number0 apples . If they used number1 to make lunch for the students and then bought number2 more ,",,,how many apples would they have ?
481,"There school 's baseball team had number0 new players and number1 returning players . If the coach put them into groups with number2 players in each group , how many groups would there be ?",12.0 44.0 8.0,/ + number0 number1 number2,7.0,"[5, 6, 7, 9, 10, 11, 21, 22, 23, 31, 32, 33]",,,"There school 's baseball team had number0 new players and number1 returning players . If the coach put them into groups with number2 players in each group ,",,,how many groups would there be ?
482,"Frank had saved up number0 dollars . If he received another number1 dollars for his allowance , how many number2 dollar toys could he buy ?",3.0 37.0 8.0,/ + number0 number1 number2,5.0,"[3, 4, 5, 10, 11, 12, 18, 19, 20, 22, 23, 24]",,,"Frank had saved up number0 dollars . If he received another number1 dollars for his allowance ,",,,how many number2 dollar toys could he buy ?
483,"Tom purchased a Batman game for $ number0 , and a Superman game for $ number1 . Tom already owns number2 games . How much did Tom spend on video games ?",13.6 5.06 2.0,+ number0 number1,18.66,"[6, 7, 8, 14, 15, 16, 19, 20, 21, 28, 29, 30]",,,"Tom purchased a Batman game for $ number0 , and a Superman game for $ number1 . Tom already owns number2 games .",,,How much did Tom spend on video games ?
484,"In Shannon 's apartment complex , number0 the apartments are one - bedroom apartments and number1 are two - bedroom apartments . What fraction of the apartments are either number2 - or two - bedroom apartments ?",0.16666666666666666 0.3333333333333333 1.0,+ number0 number1,0.5,"[5, 6, 7, 14, 15, 16, 28, 29, 30, 33, 34, 35]",,,"In Shannon 's apartment complex , number0 the apartments are one - bedroom apartments and number1 are two - bedroom apartments .",,,What fraction of the apartments are either number2 - or two - bedroom apartments ?
485,"Kaleb started his own lawn mowing business . In the spring he made number0 dollars mowing lawns and in the summer he made number1 dollars . If he had to spend number2 dollars buying supplies , how much money did he end up with ?",4.0 50.0 4.0,- + number0 number1 number0,50.0,"[12, 13, 14, 22, 23, 24, 30, 31, 32, 41, 42, 43]",,,"Kaleb started his own lawn mowing business . In the spring he made number0 dollars mowing lawns and in the summer he made number1 dollars . If he had to spend number2 dollars buying supplies ,",,,how much money did he end up with ?
486,In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,4.0 3.0 42.0,- + number0 number2 number1,43.0,"[4, 5, 6, 16, 17, 18, 20, 21, 22, 35, 36, 37]",,,In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school .,,,How many students were in fourth grade at the end ?
487,There are number0 pencils in the drawer . Nancy placed number1 pencils in the drawer . How many pencils are now there in total ?,27.0 45.0,+ number0 number1,72.0,"[1, 2, 3, 9, 10, 11, 21, 22, 23]",,,There are number0 pencils in the drawer . Nancy placed number1 pencils in the drawer .,,,How many pencils are now there in total ?
488,"There were number0 friends playing a video game online when number1 players quit . If each player left had number2 lives , how many lives did they have total ?",8.0 5.0 5.0,* number1 - number0 number1,15.0,"[1, 2, 3, 9, 10, 11, 18, 19, 20, 26, 27, 28]",,,"There were number0 friends playing a video game online when number1 players quit . If each player left had number2 lives ,",,,how many lives did they have total ?
489,"Will had number0 dollars . If he spent number1 bucks on a new game , how many number2 dollar toys could he buy with the money he had left ?",57.0 27.0 6.0,/ - number0 number1 number2,5.0,"[1, 2, 3, 7, 8, 9, 16, 17, 18, 26, 27, 28]",,,"Will had number0 dollars . If he spent number1 bucks on a new game ,",,,how many number2 dollar toys could he buy with the money he had left ?
490,"Dave had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started , how many did he not wash ?",29.0 11.0 35.0,- + number0 number1 number2,5.0,"[3, 4, 5, 8, 9, 10, 20, 21, 22, 33, 34, 35]",,,"Dave had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started ,",,,how many did he not wash ?
491,Kyle bought a boat for number0 dollars . number1 years later he sold it for number2 dollars . What percent of the purchase price did Kyle lose ?,4500.0 5.0 3600.0,* / - number0 number2 number0 100.0,20.0,"[4, 5, 6, 7, 8, 9, 14, 15, 16, 24, 25, 26]",,,Kyle bought a boat for number0 dollars . number1 years later he sold it for number2 dollars .,,,What percent of the purchase price did Kyle lose ?
492,Vince 's bus ride to school is number0 mile and Zachary 's bus ride is number1 mile . How much longer is Vince 's bus ride than Zachary 's ?,0.625 0.5,- number0 number1,0.125,"[6, 7, 8, 14, 15, 16, 26, 27, 28]",,,Vince 's bus ride to school is number0 mile and Zachary 's bus ride is number1 mile .,,,How much longer is Vince 's bus ride than Zachary 's ?
493,Linda has number0 candies . Chloe has number1 . How many candies do they have in all ?,34.0 28.0,+ number0 number1,62.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",,,Linda has number0 candies . Chloe has number1 .,,,How many candies do they have in all ?
