,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques,Ques_Statement,Grade
145,rachel picked number0 apples from her tree . if the tree had number1 apples initially . how many apples are still there on the tree ?,4 7,- number1 number0,3.0,"[1, 2, 3, 5, 11, 12, 13, 22, 23, 24]",Subtraction,23,rachel picked number0 apples from her tree . if the tree had number1 apples initially .,how many apples are still there on the tree ?,,
146,rachel 's tree had number0 apples initially . she picked some apples and now there are number1 apples left on the tree . how many apples did rachel pick ?,4 2,- number0 number1,2.0,"[1, 3, 4, 5, 7, 15, 16, 17, 26, 27, 28]",Subtraction,23,rachel 's tree had number0 apples initially . she picked some apples and now there are number1 apples left on the tree .,how many apples did rachel pick ?,,
147,rachel picked number0 ripe apples from her tree . now the tree has number1 apples still on it . if number2 of those are ripe and the rest are unripe how many unripe apples does the tree have now ?,7 5 3,- number1 number2,2.0,"[1, 2, 3, 4, 36, 37, 38, 12, 13, 14, 18, 19, 20, 21]",Subtraction,22,rachel picked number0 ripe apples from her tree . now the tree has number1 apples still on it . if number2 of those are ripe and the rest are unripe,how many unripe apples does the tree have now ?,,
148,rachel picked number0 ripe apples from her tree . now the tree has number1 apples still on it . if number2 of those are ripe and the rest are unripe how many ripe apples did the tree have to begin with ?,2 7 6,+ number0 number2,8.0,"[1, 2, 3, 4, 38, 39, 40, 12, 13, 14, 19, 20, 21]",Addition,22,rachel picked number0 ripe apples from her tree . now the tree has number1 apples still on it . if number2 of those are ripe and the rest are unripe,how many ripe apples did the tree have to begin with ?,,
149,rachel picked number0 ripe apples from her tree . now the tree has number1 ripe apples and number2 unripe apples . how many apples did the tree have to begin with ?,6 2 4,+ + number0 number1 number2,12.0,"[1, 2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 28, 29, 30]",Addition,22,rachel picked number0 ripe apples from her tree . now the tree has number1 ripe apples and number2 unripe apples .,how many apples did the tree have to begin with ?,,
150,"Bryan took a look at his books as well . If Bryan has number0 books in each of his number1 bookshelves , how many books does he have in total ?",56.0 9.0,* number0 number1,504.0,"[12, 13, 14, 18, 19, 20, 27, 28, 29]",,,"Bryan took a look at his books as well . If Bryan has number0 books in each of his number1 bookshelves ,",,how many books does he have in total ?,
151,"For the fifth grade play , the chairs have been put into number0 rows with number1 chairs in each row . How many chairs have been put out for the play ?",27.0 16.0,* number0 number1,432.0,"[11, 12, 13, 14, 15, 16, 28, 29, 30]",,,"For the fifth grade play , the chairs have been put into number0 rows with number1 chairs in each row .",,How many chairs have been put out for the play ?,
152,There are number0 short trees and number1 tall trees currently in the park . Park workers will plant number2 short trees today . How many short trees will the park have when the workers are finished ?,41.0 44.0 57.0,+ number0 number2,98.0,"[1, 2, 3, 5, 6, 7, 17, 18, 19, 33, 34, 35]",,,There are number0 short trees and number1 tall trees currently in the park . Park workers will plant number2 short trees today .,,How many short trees will the park have when the workers are finished ?,
153,Conner has number0 dollars in his bank account . Every month he spends number1 dollars . He does not add money to the account . How much money will Conner have in his account after number2 months ?,25000.0 1500.0 8.0,- number0 * number1 number2,13000.0,"[1, 2, 3, 12, 13, 14, 34, 35, 36, 34, 35, 36]",,,Conner has number0 dollars in his bank account . Every month he spends number1 dollars . He does not add money to the account .,,How much money will Conner have in his account after number2 months ?,
154,There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,34.0 49.0,+ number0 number1,83.0,"[1, 2, 3, 13, 14, 15, 29, 30, 31]",,,There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today .,,How many dogwood trees will the park have when the workers are finished ?,
155,Maggi had number0 packages of cupcakes . There are number1 cupcakes in each package . She ate number2 cupcakes . How many are left ?,3.0 4.0 5.0,* number0 number1,12.0,"[1, 2, 3, 8, 9, 10, 16, 17, 18, 21, 22, 23]",,,Maggi had number0 packages of cupcakes . There are number1 cupcakes in each package . She ate number2 cupcakes .,,How many are left ?,
157,Emily collects number0 cards . Emily 's father gives Emily number1 more . Bruce has number2 apples . How many cards does Emily have ?,63.0 7.0 13.0,+ number0 number1,70.0,"[1, 2, 3, 9, 10, 11, 14, 15, 16, 21, 22, 23]",,,Emily collects number0 cards . Emily 's father gives Emily number1 more . Bruce has number2 apples .,,How many cards does Emily have ?,
158,"A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook , how long will it take him to cook the rest ?",15.0 8.0 9.0,* number2 - number0 number1,63.0,"[4, 5, 6, 11, 12, 13, 17, 18, 19, 30, 31, 32]",,,"A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook ,",,how long will it take him to cook the rest ?,
159,It takes number0 apples to make number1 pie . How many apples does it take to make number2 pies ?,4.0 1.0 504.0,* number0 number2,2016.0,"[1, 2, 3, 5, 6, 7, 16, 17, 18, 16, 17, 18]",,,It takes number0 apples to make number1 pie .,,How many apples does it take to make number2 pies ?,
160,"Isabel baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one , how much cups of flour does she still need ?",3.0 5.0 5.0,* number1 - number1 number0,10.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 30, 31, 32]",,,"Isabel baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one ,",,how much cups of flour does she still need ?,
161,Mary is baking a cake . The recipe calls for number0 cups of flour and number1 cups of sugar . She already put in number2 cups of flour . How many cups of flour does she need to add ?,7.0 3.0 2.0,- number0 number2,5.0,"[9, 10, 11, 14, 15, 16, 23, 24, 25, 36, 37, 38]",,,Mary is baking a cake . The recipe calls for number0 cups of flour and number1 cups of sugar . She already put in number2 cups of flour .,,How many cups of flour does she need to add ?,
162,Rachel bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures . How many pictures does she still have to color ?,24.0 39.0 4.0,- + number0 number1 number2,59.0,"[7, 8, 9, 13, 14, 15, 22, 23, 24, 34, 35, 36]",,,Rachel bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures .,,How many pictures does she still have to color ?,
163,"Sean has number0 apples . Susan gives Sean number1 more . Later , Sean buys number2 tickets at the store . How many apples does Sean have in all ?",9.0 8.0 18.0,+ number0 number1,17.0,"[1, 2, 3, 7, 8, 9, 14, 15, 16, 26, 27, 28]",,,"Sean has number0 apples . Susan gives Sean number1 more . Later , Sean buys number2 tickets at the store .",,How many apples does Sean have in all ?,
164,A DVD book holds number0 DVDs . There are number1 DVDs already in the book . How many more DVDs can be put in the book ?,126.0 81.0,- number0 number1,45.0,"[3, 4, 5, 8, 9, 10, 23, 24, 25]",,,A DVD book holds number0 DVDs . There are number1 DVDs already in the book .,,How many more DVDs can be put in the book ?,
165,Amy starts with number0 peanuts . Gerald gives Amy number1 more . How many peanuts does Amy end with ?,7.0 55.0,+ number0 number1,62.0,"[2, 3, 4, 8, 9, 10, 16, 17, 18]",,,Amy starts with number0 peanuts . Gerald gives Amy number1 more .,,How many peanuts does Amy end with ?,
166,"Frank made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",19.0 11.0 2.0,/ - number0 number1 number2,4.0,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 31, 32, 33]",,,"Frank made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades ,",,how many number2 dollar games could he buy with the money he had left ?,
167,James has number0 balloons . Amy has number1 balloons . How many more balloons does James have than Amy ?,232.0 101.0,- number0 number1,131.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",,,James has number0 balloons . Amy has number1 balloons .,,How many more balloons does James have than Amy ?,
168,Beth has number0 packs of crayons . Each pack has number1 crayons in it . She also has number2 extra crayons . How many crayons does Beth have altogether ?,4.0 10.0 6.0,* number0 number1,40.0,"[1, 2, 3, 9, 10, 11, 17, 18, 19, 26, 27, 28]",,,Beth has number0 packs of crayons . Each pack has number1 crayons in it . She also has number2 extra crayons .,,How many crayons does Beth have altogether ?,
169,"Bianca had number0 coloring books . If she gave away number1 of them , but then bought number2 more , how many would she have total ?",45.0 6.0 20.0,- + number0 number2 number1,59.0,"[1, 2, 3, 9, 10, 11, 16, 17, 18, 23, 24, 25]",,,"Bianca had number0 coloring books . If she gave away number1 of them , but then bought number2 more ,",,how many would she have total ?,
170,"A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each , how many tables do they need ?",18.0 12.0 3.0,/ - number0 number1 number2,2.0,"[2, 3, 4, 9, 10, 11, 23, 24, 25, 31, 32, 33]",,,"A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each ,",,how many tables do they need ?,
171,"An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 liters of oil leaked into the water . While the engineers worked , the pipe leaked number1 liters of oil . In all , how many liters of oil leaked into the water ?",6522.0 5165.0,+ number0 number1,11687.0,"[15, 16, 17, 32, 33, 34, 47, 48, 49]",,,"An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 liters of oil leaked into the water . While the engineers worked , the pipe leaked number1 liters of oil . In all ,",,how many liters of oil leaked into the water ?,
173,"A construction company ordered number0 ton of concrete , number1 ton of bricks , and number2 ton of stone . How many tons of material did the company order in all ?",0.16666666666666666 0.16666666666666666 0.5,+ + number0 number0 number2,0.8333333333333334,"[3, 4, 5, 8, 9, 10, 14, 15, 16, 28, 29, 30]",,,"A construction company ordered number0 ton of concrete , number1 ton of bricks , and number2 ton of stone .",,How many tons of material did the company order in all ?,
174,"Jessica grew number0 watermelons and number1 carrots , but the rabbits ate number2 watermelons . How many watermelons does Jessica have ?",35.0 30.0 27.0,- number0 number2,8.0,"[1, 2, 3, 4, 5, 6, 11, 12, 13, 18, 19, 20]",,,"Jessica grew number0 watermelons and number1 carrots , but the rabbits ate number2 watermelons .",,How many watermelons does Jessica have ?,
175,"Jazmin had number0 dolls and Geraldine had number1 dolls . If they put their dolls together , how many would they have ?",1209.0 2186.0,+ number0 number1,3395.0,"[1, 2, 3, 6, 7, 8, 19, 20, 21]",,,"Jazmin had number0 dolls and Geraldine had number1 dolls . If they put their dolls together ,",,how many would they have ?,
176,"Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another , how many trips will he make ?",8.0 9.0 7.0,/ + number1 number2 number0,2.0,"[15, 16, 17, 27, 28, 29, 33, 34, 35, 42, 43, 44]",,,"Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another ,",,how many trips will he make ?,
177,Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet . How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?,30.0 4.0,* number0 number1,120.0,"[14, 15, 16, 37, 38, 39, 38, 39, 40]",,,Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet .,,How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?,
178,"Last year , number0 people were born in a country , and number1 people immigrated to it . How many new people began living in the country last year ?",90171.0 16320.0,+ number0 number1,106491.0,"[2, 3, 4, 11, 12, 13, 26, 27, 28]",,,"Last year , number0 people were born in a country , and number1 people immigrated to it .",,How many new people began living in the country last year ?,
179,Christine wandered number0 miles at number1 miles per hour . How long did Christine wander ?,20.0 4.0,/ number0 number1,5.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",,,Christine wandered number0 miles at number1 miles per hour .,,How long did Christine wander ?,
180,Emily was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each . How many small gardens did Emily have ?,42.0 36.0 2.0,/ - number0 number1 number2,3.0,"[10, 11, 12, 14, 15, 16, 29, 30, 31, 38, 39, 40]",,,Emily was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each .,,How many small gardens did Emily have ?,
181,"Dana earns $ number0 per hour . She worked number1 hours on Friday , number2 hours on Saturday , and number3 hours on Sunday . How much money did Dana earn in all ?",13.0 9.0 10.0 3.0,* number0 + + number1 number2 number3,286.0,"[2, 3, 4, 8, 9, 10, 13, 14, 15, 19, 20, 21, 30, 31, 32]",,,"Dana earns $ number0 per hour . She worked number1 hours on Friday , number2 hours on Saturday , and number3 hours on Sunday .",,How much money did Dana earn in all ?,
182,"Nancy picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day , how many carrots would she have total ?",12.0 2.0 21.0,- + number0 number2 number1,31.0,"[1, 2, 3, 11, 12, 13, 17, 18, 19, 28, 29, 30]",,,"Nancy picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day ,",,how many carrots would she have total ?,
183,"My dog had some bones . Then , he dug up number0 bones . Now he has number1 bones . How many bones did he start with ?",367.0 860.0,- number1 number0,493.0,"[10, 11, 12, 16, 17, 18, 24, 25, 26]",,,"My dog had some bones . Then , he dug up number0 bones . Now he has number1 bones .",,How many bones did he start with ?,
184,"There are number0 gallons of water in Becky 's fish tank . If Becky adds number1 gallons more , how many gallons will there be in all ?",7.75 7.0,+ number0 number1,14.75,"[1, 2, 3, 14, 15, 16, 24, 25, 26]",,,"There are number0 gallons of water in Becky 's fish tank . If Becky adds number1 gallons more ,",,how many gallons will there be in all ?,
185,"While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",5.0 5.0 5.0,* number0 + number0 number0,50.0,"[7, 8, 9, 15, 16, 17, 28, 29, 30, 34, 35, 36]",,,"While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",,what was his final score ?,
186,"Haley and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Haley recycled number1 pounds and her friends recycled number2 pounds , how many points did they earn ?",3.0 11.0 16.0,/ + number1 number2 number0,9.0,"[12, 13, 14, 24, 25, 26, 30, 31, 32, 37, 38, 39]",,,"Haley and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Haley recycled number1 pounds and her friends recycled number2 pounds ,",,how many points did they earn ?,
187,Mike had number0 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now number1 peaches . how many did he pick ?,34.0 86.0,- number1 number0,52.0,"[1, 2, 3, 24, 25, 26, 30, 31, 32]",,,Mike had number0 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now number1 peaches .,,how many did he pick ?,
188,Paige was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . How many pieces of winter clothing did Paige have total ?,6.0 5.0 5.0,* number0 + number1 number1,60.0,"[11, 12, 13, 21, 22, 23, 24, 25, 26, 35, 36, 37]",,,Paige was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens .,,How many pieces of winter clothing did Paige have total ?,
190,"A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table , how many tables did he have ?",21.0 12.0 3.0,/ - number0 number1 number2,3.0,"[2, 3, 4, 9, 10, 11, 20, 21, 22, 30, 31, 32]",,,"A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table ,",,how many tables did he have ?,
191,Todd has some gum . Steve gave him number0 more pieces of gum . Now Todd has number1 pieces of gum . How many pieces did Todd have to start with ?,16.0 54.0,- number1 number0,38.0,"[7, 8, 9, 16, 17, 18, 30, 31, 32]",,,Todd has some gum . Steve gave him number0 more pieces of gum . Now Todd has number1 pieces of gum .,,How many pieces did Todd have to start with ?,
192,"Mike made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",69.0 24.0 5.0,/ - number0 number1 number2,9.0,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 31, 32, 33]",,,"Mike made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades ,",,how many number2 dollar games could he buy with the money he had left ?,
193,"Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",4.0 5.0 3.0,* number0 + number1 number2,32.0,"[13, 14, 15, 21, 22, 23, 27, 28, 29, 38, 39, 40]",,,"Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",,how many books did she have total ?,
194,"Paul had saved up number0 dollars . If he received another number1 dollars for his allowance , how many number2 dollar toys could he buy ?",4.0 11.0 5.0,/ + number0 number1 number2,3.0,"[3, 4, 5, 10, 11, 12, 18, 19, 20, 22, 23, 24]",,,"Paul had saved up number0 dollars . If he received another number1 dollars for his allowance ,",,how many number2 dollar toys could he buy ?,
195,Mary starts with number0 eggs . She finds another number1 . How many eggs does Mary end with ?,27.0 4.0,+ number0 number1,31.0,"[2, 3, 4, 8, 9, 10, 15, 16, 17]",,,Mary starts with number0 eggs . She finds another number1 .,,How many eggs does Mary end with ?,
196,"Brandy made trail mix for a backpacking trip . She used number0 pound of peanuts , number1 pound of chocolate chips , and number2 pound of raisins . How many pounds of trail mix did Brandy make ?",0.16666666666666666 0.16666666666666666 0.08333333333333333,+ + number0 number0 number2,0.4166666666666667,"[10, 11, 12, 15, 16, 17, 22, 23, 24, 34, 35, 36]",,,"Brandy made trail mix for a backpacking trip . She used number0 pound of peanuts , number1 pound of chocolate chips , and number2 pound of raisins .",,How many pounds of trail mix did Brandy make ?,
197,Bridget weighs number0 pounds . Martha weighs number1 pounds . How much heavier is Bridget than Martha ?,39.0 2.0,- number0 number1,37.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",,,Bridget weighs number0 pounds . Martha weighs number1 pounds .,,How much heavier is Bridget than Martha ?,
198,For Halloween Bianca received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile . How many piles could she make ?,78.0 30.0 8.0,/ - number0 number1 number2,6.0,"[3, 4, 5, 10, 11, 12, 19, 20, 21, 28, 29, 30]",,,For Halloween Bianca received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile .,,How many piles could she make ?,
199,There are number0 pencils in the drawer . Sara placed number1 pencils in the drawer . How many pencils are now there in all ?,115.0 100.0,+ number0 number1,215.0,"[1, 2, 3, 9, 10, 11, 21, 22, 23]",,,There are number0 pencils in the drawer . Sara placed number1 pencils in the drawer .,,How many pencils are now there in all ?,
200,"While playing at the arcade , Luke won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he was trying to buy candy that cost number2 tickets a piece , how many could he buy ?",2.0 13.0 3.0,/ + number0 number1 number2,5.0,"[7, 8, 9, 16, 17, 18, 33, 34, 35, 41, 42, 43]",,,"While playing at the arcade , Luke won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he was trying to buy candy that cost number2 tickets a piece ,",,how many could he buy ?,
201,A multi - national corporation has number0 part - time employees and number1 full - time employees . How many employees work for the corporation ?,2041.0 63093.0,+ number0 number1,65134.0,"[5, 6, 7, 11, 12, 13, 22, 23, 24]",,,A multi - national corporation has number0 part - time employees and number1 full - time employees .,,How many employees work for the corporation ?,
202,A box of books weighs number0 pounds . Each book weighs number1 pounds . How many books are there in the box ?,42.0 3.0,/ number0 number1,14.0,"[4, 5, 6, 10, 11, 12, 19, 20, 21]",,,A box of books weighs number0 pounds . Each book weighs number1 pounds .,,How many books are there in the box ?,
203,You have number0 balloons and your friend has number1 balloons . How many more balloons do you have than your friend ?,7.0 5.0,- number0 number1,2.0,"[1, 2, 3, 7, 8, 9, 20, 21, 22]",,,You have number0 balloons and your friend has number1 balloons .,,How many more balloons do you have than your friend ?,
204,"At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip , how much money did he earn ?",10.0 5.0 3.0,* number2 - number0 number1,15.0,"[4, 5, 6, 7, 8, 9, 20, 21, 22, 33, 34, 35]",,,"At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip ,",,how much money did he earn ?,
205,"There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups , how many students would be in each group ?",17.0 5.0 3.0,/ - number0 number1 number2,4.0,"[1, 2, 3, 13, 14, 15, 29, 30, 31, 38, 39, 40]",,,"There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups ,",,how many students would be in each group ?,
206,"An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 gallons of oil leaked into the water . A total of number1 gallons of oil leaked before the pipe was fixed . How many gallons of oil leaked while the engineers were fixing the pipe ?",2475.0 6206.0,- number1 number0,3731.0,"[15, 16, 17, 27, 28, 29, 49, 50, 51]",,,"An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 gallons of oil leaked into the water . A total of number1 gallons of oil leaked before the pipe was fixed .",,How many gallons of oil leaked while the engineers were fixing the pipe ?,
207,"If Benjamin skated number0 kilometers at number1 kilometers per hour , how long was Benjamin skating ?",80.0 10.0,/ number0 number1,8.0,"[2, 3, 4, 5, 6, 7, 13, 14, 15]",,,"If Benjamin skated number0 kilometers at number1 kilometers per hour ,",,how long was Benjamin skating ?,
208,A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage . How many cages did they use ?,88.0 34.0 6.0,/ - number0 number1 number2,9.0,"[3, 4, 5, 11, 12, 13, 21, 22, 23, 30, 31, 32]",,,A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage .,,How many cages did they use ?,
209,"Dave bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Dave still have ?",12.0 5.0 3.0,* number2 - number0 number1,21.0,"[1, 2, 3, 8, 9, 10, 18, 19, 20, 28, 29, 30]",,,"Dave bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it ,",,how many pieces did Dave still have ?,
210,"Mike found number0 seashells and number1 starfish , but number2 of the seashells were broken . How many unbroken seashells did Mike find ?",6.0 4.0 4.0,- number0 number1,2.0,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 20, 21, 22]",,,"Mike found number0 seashells and number1 starfish , but number2 of the seashells were broken .",,How many unbroken seashells did Mike find ?,
211,"There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups , how many students would be in each group ?",64.0 36.0 4.0,/ - number0 number1 number2,7.0,"[1, 2, 3, 13, 14, 15, 29, 30, 31, 38, 39, 40]",,,"There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups ,",,how many students would be in each group ?,
212,Mrs. Hilt bought number0 pizzas for $ number1 each . What was the total amount she paid for the three pizzas ?,3.0 8.0,* number0 number1,24.0,"[2, 3, 4, 6, 7, 8, 18, 19, 20]",,,Mrs. Hilt bought number0 pizzas for $ number1 each .,,What was the total amount she paid for the three pizzas ?,
213,"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit , how many extra did the cafeteria end up with ?",43.0 32.0 2.0,- + number0 number1 number2,73.0,"[3, 4, 5, 7, 8, 9, 18, 19, 20, 30, 31, 32]",,,"The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit ,",,how many extra did the cafeteria end up with ?,
214,"There were number0 girls and number1 boys trying out for the schools basketball team . If only number2 of them got called back , how many students did n't make the cut ?",39.0 4.0 26.0,- + number0 number1 number2,17.0,"[1, 2, 3, 4, 5, 6, 16, 17, 18, 29, 30, 31]",,,"There were number0 girls and number1 boys trying out for the schools basketball team . If only number2 of them got called back ,",,how many students did n't make the cut ?,
215,Each ticket costs $ number0 . How much do number1 tickets cost ?,9.0 4.0,* number0 number1,36.0,"[3, 4, 5, 8, 9, 10, 9, 10, 11]",,,Each ticket costs $ number0 .,,How much do number1 tickets cost ?,
216,"Recently , the value of Kate 's retirement fund decreased by $ number0 . If her fund was worth $ number1 before , how much is it worth now ?",12.0 1472.0,- number1 number0,1460.0,"[11, 12, 13, 19, 20, 21, 26, 27, 28]",,,"Recently , the value of Kate 's retirement fund decreased by $ number0 . If her fund was worth $ number1 before ,",,how much is it worth now ?,
217,A sandbox is number0 centimeters long and number1 centimeters wide . How many square centimeters of ground does the sandbox cover ?,312.0 146.0,* number0 number1,45552.0,"[2, 3, 4, 6, 7, 8, 18, 19, 20]",,,A sandbox is number0 centimeters long and number1 centimeters wide .,,How many square centimeters of ground does the sandbox cover ?,
218,"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it , how many birds does the pet store have total ?",9.0 2.0 6.0,* number0 + number1 number2,72.0,"[3, 4, 5, 11, 12, 13, 14, 15, 16, 26, 27, 28]",,,"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it ,",,how many birds does the pet store have total ?,
219,Mrs. Hilt bought an ice cream cone for number0 cents . How much would number1 ice cream cones cost ?,99.0 2.0,* number0 number1,198.0,"[7, 8, 9, 13, 14, 15, 16, 17, 18]",,,Mrs. Hilt bought an ice cream cone for number0 cents .,,How much would number1 ice cream cones cost ?,
220,Sally has number0 blue balloons . Fred has number1 times more blue balloons than Sally . How many blue balloons does Fred have now ?,6.0 3.0,* number0 number1,18.0,"[1, 2, 3, 7, 8, 9, 23, 24, 25]",,,Sally has number0 blue balloons . Fred has number1 times more blue balloons than Sally .,,How many blue balloons does Fred have now ?,
221,"If Joan bicycled number0 miles at number1 miles per hour , how long was Joan travelling ?",25.0 5.0,/ number0 number1,5.0,"[2, 3, 4, 5, 6, 7, 13, 14, 15]",,,"If Joan bicycled number0 miles at number1 miles per hour ,",,how long was Joan travelling ?,
222,"Each child has number0 bottle caps . If there are number1 children , how many bottle caps are there in total ?",5.0 9.0,* number0 number1,45.0,"[2, 3, 4, 9, 10, 11, 18, 19, 20]",,,"Each child has number0 bottle caps . If there are number1 children ,",,how many bottle caps are there in total ?,
223,Jesse ’ s room is number0 feet long and number1 feet wide . How much carpet does she need to cover the whole floor ?,12.0 8.0,* number0 number1,96.0,"[3, 4, 5, 7, 8, 9, 20, 21, 22]",,,Jesse ’ s room is number0 feet long and number1 feet wide .,,How much carpet does she need to cover the whole floor ?,
224,There are number0 cupcakes for number1 children to share . How much will each person get if they share the cupcakes equally ?,96.0 8.0,/ number0 number1,12.0,"[1, 2, 3, 4, 5, 6, 19, 20, 21]",,,There are number0 cupcakes for number1 children to share .,,How much will each person get if they share the cupcakes equally ?,
225,number0 red apples and number1 green apples are in the basket . how many apples are in the basket ?,7 2,+ number0 number1,9.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",Addition,,number0 red apples and number1 green apples are in the basket .,,how many apples are in the basket ?,1.0
226,ellen has number0 more balls than marin . marin has number1 balls . how many balls does ellen have ?,6 9,+ number0 number1,15.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",Addition,,ellen has number0 more balls than marin . marin has number1 balls .,,how many balls does ellen have ?,1.0
227,janet has number0 oranges and sharon has number1 oranges . how many oranges do janet and sharon have together ?,9 7,+ number0 number1,16.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Addition,,janet has number0 oranges and sharon has number1 oranges .,,how many oranges do janet and sharon have together ?,1.0
228,allan brought number0 balloons and jake brought number1 balloons to the park . how many balloons did allan and jake have in the park ?,2 4,+ number0 number1,6.0,"[1, 2, 3, 6, 7, 8, 21, 22, 23]",Addition,,allan brought number0 balloons and jake brought number1 balloons to the park .,,how many balloons did allan and jake have in the park ?,1.0
229,adam has number0 more apples than jackie . jackie has number1 apples . how many apples does adam have ?,5 9,+ number0 number1,14.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",Addition,,adam has number0 more apples than jackie . jackie has number1 apples .,,how many apples does adam have ?,1.0
